SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10
1,fa-en,fl,7,-0.8682896895383835,-2.319909960120688,-0.19043549018435527,-0.0939500122141699,nan,-1.7857139212625865,-0.5932945512455116,nan,-2.4548081119271896,nan
2,fa-en,fl,7,-0.08109481601314825,0.6405125691825236,1.5058146491896944,-1.09522793781309,nan,0.13835658514547758,0.5567545302611846,nan,-0.5381920816533697,nan
3,fa-en,fl,7,0.8044994167027414,-1.2368285469609765,-0.4024667576061115,-1.4156368740047447,nan,1.1178833884077648,0.6009871872422115,nan,-0.6935933814053011,nan
4,fa-en,fl,7,0.460101659535451,0.6766152829545141,1.5058146491896944,0.9874301474326639,nan,1.0829002882912546,1.087546414033506,nan,0.7568187496127248,nan
5,fa-en,fl,7,-0.6222912915617475,-1.5256502571368995,0.07460359409284001,-1.2954835229328743,nan,-0.24645751613613526,0.20289327441297042,nan,-1.2115977139117389,nan
6,fa-en,fl,7,-1.3110868058963283,-0.1898498475732552,0.12761141094827907,-1.3755857569807879,nan,-0.5263223170682173,0.5567545302611846,nan,0.03161268410371184,nan
7,fa-en,fl,7,0.706100057512087,0.6766152829545141,1.5058146491896944,1.0675323814805775,nan,1.2228326887572956,1.087546414033506,nan,1.4820248151217377,nan
8,fa-en,fl,7,1.2472965330606862,0.6766152829545141,1.5058146491896944,1.0675323814805775,nan,1.2228326887572956,1.087546414033506,nan,1.5856256816230252,nan
9,fa-en,fl,7,0.11570390236816057,-0.1898498475732552,0.3396426783700353,-0.33425671435791077,nan,-0.5962885173012379,-0.7702251791696186,nan,0.8604196161140123,nan
10,fa-en,fl,7,0.4109019799401238,0.7127179967265045,0.5516739457917915,-0.5345122994776949,nan,-0.1415082157866045,0.15866061743194365,nan,0.7568187496127248,nan
11,fa-en,fl,7,1.1488971738700318,-0.15374713380126484,0.2866348615145962,-0.8148701186453925,nan,0.5231706864270904,0.9548484430904256,nan,-0.4345912151520822,nan
12,fa-en,fl,7,1.3456958922513407,0.7127179967265045,1.5058146491896944,1.0675323814805775,nan,1.2228326887572956,1.087546414033506,nan,1.6892265481243127,nan
13,fa-en,fl,7,2.4772885229438666,-2.031088249944765,1.5058146491896944,1.0675323814805775,nan,1.012934088058234,1.087546414033506,nan,1.5856256816230252,nan
14,fa-en,fl,7,1.198096853465359,0.6766152829545141,0.7106973963581087,1.0675323814805775,nan,0.5231706864270904,0.9106157861093989,nan,0.6014174498607934,nan
15,fa-en,fl,7,2.0344914065859214,0.7127179967265045,1.5058146491896944,1.0675323814805775,nan,1.2228326887572956,1.087546414033506,nan,1.5856256816230252,nan
16,fa-en,fl,7,1.2472965330606862,0.7127179967265045,1.028744297490743,-1.4957391080526583,nan,0.13835658514547758,1.087546414033506,nan,0.6532178831114372,nan
17,fa-en,fl,7,0.2633029411541422,0.6766152829545141,0.2866348615145962,0.5869189771930958,nan,1.1178833884077648,1.087546414033506,nan,1.171222215617875,nan
