SEGID,LANGPAIR,ANNOTYPE,SCORETYPE,MEANSCORE,NUMANNOT,ANNOTATOR_1,ANNOTATOR_2,ANNOTATOR_3,ANNOTATOR_4,ANNOTATOR_5,ANNOTATOR_6,ANNOTATOR_7,ANNOTATOR_8
42,fa-en,bl,zscore,1.1972653129187336,5,nan,2.0638229399508177,1.114746564338162,1.1687462965934894,0.9668252304735315,nan,0.6721855332376659,nan
43,fa-en,bl,zscore,-0.556453725713052,5,nan,0.26767273819003373,-0.7787075423851971,-0.7404516395549031,0.30499730994194574,nan,-1.8357794947571395,nan
44,fa-en,bl,zscore,0.165150184089151,5,nan,0.22276898314601415,-0.6981350272054797,-0.037062926237074315,0.6659943575046289,nan,0.6721855332376659,nan
45,fa-en,bl,zscore,0.8198269829063871,5,nan,1.8842079197747392,1.0744603067483034,-0.13754702813962127,0.6058281829108484,nan,0.6721855332376659,nan
46,fa-en,bl,zscore,0.10053667204851471,5,nan,0.5819990234981709,-0.6981350272054797,-0.23803113004216825,0.18466496075438465,nan,0.6721855332376659,nan
47,fa-en,bl,zscore,1.0728977758435083,5,nan,1.8842079197747392,1.0744603067483034,0.7668098889833015,0.9668252304735315,nan,0.6721855332376659,nan
48,fa-en,bl,zscore,0.3097593657770643,5,nan,0.9861328188943472,-0.6981350272054797,-0.13754702813962127,0.7261605320984095,nan,0.6721855332376659,nan
49,fa-en,bl,zscore,0.6803618920894664,5,nan,0.9861328188943472,1.0744603067483034,0.515599634226934,0.9668252304735315,nan,-0.14120852989578456,nan
50,fa-en,bl,zscore,0.7283937189341729,5,nan,0.4023840033220925,1.114746564338162,0.6663257870807545,0.78632670669219,nan,0.6721855332376659,nan
51,fa-en,bl,zscore,-0.8946835261067042,5,nan,-0.6304023626903582,-1.1009976031040667,-0.4892413847985357,-0.41699678518342065,nan,-1.8357794947571395,nan
52,fa-en,bl,zscore,1.0686271391177053,5,nan,2.0638229399508177,1.0744603067483034,0.5658416851782075,0.9668252304735315,nan,0.6721855332376659,nan
53,fa-en,bl,zscore,-0.5146054495132997,5,nan,-1.1692474232185932,-0.7384212847953384,0.013179124714199169,-0.5373291343709817,nan,-0.14120852989578456,nan
54,fa-en,bl,zscore,1.1590628308299977,5,nan,2.0638229399508177,1.0744603067483034,1.018020143739669,0.9668252304735315,nan,0.6721855332376659,nan
55,fa-en,bl,zscore,0.9926991983885263,5,nan,1.031036573938367,1.0744603067483034,1.218988347544763,0.9668252304735315,nan,0.6721855332376659,nan
56,fa-en,bl,zscore,-0.5231443541372437,5,nan,-0.9896324030425149,-0.6981350272054797,-0.3385152319447152,0.3651634845357263,nan,-0.954602593029235,nan
57,fa-en,bl,zscore,0.666765542017032,5,nan,0.5819990234981709,1.114746564338162,0.5658416851782075,0.3651634845357263,nan,0.706076952534893,nan
58,fa-en,bl,zscore,0.13220104270393002,5,nan,0.26767273819003373,-0.6981350272054797,0.415115532324387,0.00416643697304307,nan,0.6721855332376659,nan
59,fa-en,bl,zscore,-0.8085727646767399,5,nan,-1.1692474232185932,-1.221856375873643,-0.5394834357498092,-0.05599973762073746,nan,-1.0562768509209164,nan
60,fa-en,bl,zscore,0.82256294812557,5,nan,1.1657478390704257,0.7924565036192924,0.515599634226934,0.9668252304735315,nan,0.6721855332376659,nan
61,fa-en,bl,zscore,0.3406215974854069,5,nan,-1.2590549333066325,1.0341740491584446,0.616083736129481,0.6058281829108484,nan,0.706076952534893,nan
62,fa-en,bl,zscore,-0.431186676733733,5,nan,-1.079439913130554,-1.2621426334635015,-0.6399675376523561,0.9668252304735315,nan,-0.14120852989578456,nan
63,fa-en,bl,zscore,-0.1426941374031016,5,nan,-0.540594852602319,-1.62471895177223,0.11366322661674615,0.6659943575046289,nan,0.6721855332376659,nan
64,fa-en,bl,zscore,-0.8394654377294455,5,nan,-1.1692474232185932,-1.2621426334635015,-0.6902095886036296,0.7261605320984095,nan,-1.8018880754599125,nan
65,fa-en,bl,zscore,0.3181717778862313,5,nan,-0.0017497920740838216,1.0341740491584446,0.2141473285192931,0.4854958337232873,nan,-0.14120852989578456,nan
66,fa-en,bl,zscore,1.084709175625924,5,nan,1.5249778794225823,1.0744603067483034,1.218988347544763,0.9668252304735315,nan,0.6382941139404388,nan
67,fa-en,bl,zscore,1.2562768064017351,5,nan,2.0638229399508177,1.0744603067483034,1.4701986023011302,0.9668252304735315,nan,0.706076952534893,nan
68,fa-en,bl,zscore,0.3454807818443629,5,nan,2.0638229399508177,1.0341740491584446,0.7668098889833015,0.5456620083170679,nan,-2.6830649771878172,nan
69,fa-en,bl,zscore,-0.9161446512165627,5,nan,-1.3488624433946717,-1.342715148643219,-0.23803113004216825,0.18466496075438465,nan,-1.8357794947571395,nan
70,fa-en,bl,zscore,-0.7951051562470685,5,nan,-1.9326112589669264,0.10759012459169441,0.06342117566547266,-1.2593232294963481,nan,-0.954602593029235,nan
71,fa-en,bl,zscore,0.11047073231143564,5,nan,-0.40588358747026015,-0.7787075423851971,0.3648734813731136,0.6659943575046289,nan,0.706076952534893,nan
72,fa-en,bl,zscore,0.6915797564385591,5,nan,0.08805771801395537,1.114746564338162,0.616083736129481,0.9668252304735315,nan,0.6721855332376659,nan
73,fa-en,bl,zscore,0.5072352066082034,5,nan,0.49219151341013173,0.7521702460294337,0.3146314304218401,0.30499730994194574,nan,0.6721855332376659,nan
74,fa-en,bl,zscore,0.4268020516266084,5,nan,-0.09155730216212302,0.9536015339787273,0.415115532324387,0.18466496075438465,nan,0.6721855332376659,nan
75,fa-en,bl,zscore,1.1570716721577148,5,nan,2.0638229399508177,1.114746564338162,0.9677780927883954,0.9668252304735315,nan,0.6721855332376659,nan
76,fa-en,bl,zscore,-0.7934257538061648,5,nan,0.17786522810199457,-1.221856375873643,-0.7906936905061765,-0.29666443599585957,nan,-1.8357794947571395,nan
77,fa-en,bl,zscore,0.25608436310868155,5,nan,-0.09155730216212302,1.0744603067483034,-0.4389993338472622,0.0643326115668236,nan,0.6721855332376659,nan
78,fa-en,bl,zscore,0.5847342438237443,5,nan,-0.40588358747026015,1.0744603067483034,0.616083736129481,0.9668252304735315,nan,0.6721855332376659,nan
79,fa-en,bl,zscore,-0.8554104288715637,5,nan,0.17786522810199457,0.10759012459169441,-0.7404516395549031,-1.138990880308787,nan,-2.6830649771878172,nan
80,fa-en,bl,zscore,0.02522899913943073,5,nan,0.17786522810199457,1.0341740491584446,0.2643893794705666,0.4854958337232873,nan,-1.8357794947571395,nan
81,fa-en,bl,zscore,0.7020152300127065,5,nan,0.6718065335862101,1.114746564338162,0.5658416851782075,0.4854958337232873,nan,0.6721855332376659,nan
82,fa-en,bl,zscore,0.42855863277227846,5,nan,0.17786522810199457,1.114746564338162,0.11366322661674615,0.0643326115668236,nan,0.6721855332376659,nan
83,fa-en,bl,zscore,-0.2631232204425998,5,nan,0.26767273819003373,-0.4161312240764688,-0.18778907909089476,-0.8381600073398844,nan,-0.14120852989578456,nan
84,fa-en,bl,zscore,0.24057295552169194,5,nan,0.5819990234981709,1.0341740491584446,0.11366322661674615,-1.1991570549025676,nan,0.6721855332376659,nan
85,fa-en,bl,zscore,0.41257475022786416,5,nan,0.17786522810199457,0.993887791568586,0.515599634226934,-0.29666443599585957,nan,0.6721855332376659,nan
86,fa-en,bl,zscore,0.12547663296636571,5,nan,0.22276898314601415,-0.05355490576774041,-0.3385152319447152,0.12449878616060413,nan,0.6721855332376659,nan
87,fa-en,bl,zscore,-0.43138163638136084,5,nan,0.17786522810199457,-0.4967037392561862,-0.28827318099344174,-2.2219820229968366,nan,0.6721855332376659,nan
88,fa-en,bl,zscore,0.5079433371737333,5,nan,0.043153962969935775,1.0341740491584446,0.3648734813731136,0.42532965912950677,nan,0.6721855332376659,nan
89,fa-en,bl,zscore,-0.5143397388292332,5,nan,-0.4956910975582994,-0.7384212847953384,-0.5394834357498092,-1.1991570549025676,nan,0.40105417885984906,nan
90,fa-en,bl,zscore,1.0887239594982145,5,nan,2.0638229399508177,1.0744603067483034,0.6663257870807545,0.9668252304735315,nan,0.6721855332376659,nan
91,fa-en,bl,zscore,1.0112695989263671,5,nan,2.0638229399508177,1.0744603067483034,0.6663257870807545,0.5456620083170679,nan,0.706076952534893,nan
92,fa-en,bl,zscore,-0.42879573192700604,5,nan,-0.2711723223382014,0.18816263977141184,-0.8409357414574501,-1.0788247057150064,nan,-0.14120852989578456,nan
93,fa-en,bl,zscore,0.493670370487199,5,nan,0.043153962969935775,1.0744603067483034,-0.28827318099344174,0.9668252304735315,nan,0.6721855332376659,nan
94,fa-en,bl,zscore,0.039206500033439486,5,nan,-0.7202098727783973,0.06730386700183572,-0.4892413847985357,0.6659943575046289,nan,0.6721855332376659,nan
95,fa-en,bl,zscore,-0.6318831214870146,5,nan,-0.3609798324262406,0.10759012459169441,-0.6902095886036296,-2.58297907055952,nan,0.367162759562622,nan
96,fa-en,bl,zscore,-0.367518223685063,5,nan,0.08805771801395537,-0.4564174816663275,-0.7906936905061765,-0.5373291343709817,nan,-0.14120852989578456,nan
97,fa-en,bl,zscore,0.23360870036209863,5,nan,1.6147853895106217,0.3895939277207054,-0.7906936905061765,-0.7178276581523233,nan,0.6721855332376659,nan
98,fa-en,bl,zscore,-0.823715940009017,5,nan,-1.2590549333066325,-0.7787075423851971,-0.7404516395549031,-1.1991570549025676,nan,-0.14120852989578456,nan
99,fa-en,bl,zscore,-0.28607517338996064,5,nan,-1.1243436681745738,-0.5772762544359036,-0.4389993338472622,0.00416643697304307,nan,0.706076952534893,nan
100,fa-en,bl,zscore,0.46333423545473257,5,nan,-0.3609798324262406,1.0744603067483034,0.5658416851782075,0.3651634845357263,nan,0.6721855332376659,nan
101,fa-en,bl,zscore,0.272831182719814,5,nan,-0.7202098727783973,0.6715977308497163,0.616083736129481,0.12449878616060413,nan,0.6721855332376659,nan
102,fa-en,bl,zscore,0.607438194384821,5,nan,0.5819990234981709,0.7924565036192924,0.2643893794705666,0.7261605320984095,nan,0.6721855332376659,nan
103,fa-en,bl,zscore,0.3259516736244271,5,nan,1.031036573938367,0.7924565036192924,-0.3887572828959887,-0.4771629597772012,nan,0.6721855332376659,nan
104,fa-en,bl,zscore,0.2746286310625794,5,nan,0.4023840033220925,0.9536015339787273,-0.23803113004216825,-0.41699678518342065,nan,0.6721855332376659,nan
105,fa-en,bl,zscore,0.8398840570011548,5,nan,2.0638229399508177,0.993887791568586,0.4653575832756605,0.00416643697304307,nan,0.6721855332376659,nan
106,fa-en,bl,zscore,-0.11935627955076115,5,nan,0.6269027785421906,-0.7384212847953384,-0.7404516395549031,-0.41699678518342065,nan,0.6721855332376659,nan
107,fa-en,bl,zscore,-0.24223985500656892,5,nan,0.31257649323405334,-0.3758449664866101,-0.5897254867010827,-0.41699678518342065,nan,-0.14120852989578456,nan
108,fa-en,bl,zscore,0.6582715442090118,5,nan,1.1657478390704257,1.0744603067483034,0.3146314304218401,0.0643326115668236,nan,0.6721855332376659,nan
109,fa-en,bl,zscore,0.8143800064740205,5,nan,0.4472877583661121,1.0341740491584446,0.9175360418371219,0.9668252304735315,nan,0.706076952534893,nan
110,fa-en,bl,zscore,-0.8250940901121531,5,nan,-1.752996238790848,0.06730386700183572,-1.041903945262544,-0.4771629597772012,nan,-0.9207111737320078,nan
111,fa-en,bl,zscore,-1.4035230749392416,5,nan,-0.9896324030425149,-0.6175625120257623,-0.9916618943112705,-2.58297907055952,nan,-1.8357794947571395,nan
112,fa-en,bl,zscore,1.0887239594982145,5,nan,2.0638229399508177,1.0744603067483034,0.6663257870807545,0.9668252304735315,nan,0.6721855332376659,nan
113,fa-en,bl,zscore,0.3410574723659723,5,nan,0.13296147305797495,1.0744603067483034,-0.5394834357498092,0.3651634845357263,nan,0.6721855332376659,nan
114,fa-en,bl,zscore,1.1068359551502227,5,nan,2.0638229399508177,1.0744603067483034,0.8170519399345749,0.906659055879751,nan,0.6721855332376659,nan
115,fa-en,bl,zscore,0.061655827001787865,4,nan,-0.316076077382221,nan,0.06342117566547266,0.0643326115668236,nan,0.4349455981570762,nan
116,fa-en,bl,zscore,-1.088085655384047,4,nan,-0.4956910975582994,nan,-1.1926300981163644,-2.5228128959657394,nan,-0.14120852989578456,nan
117,fa-en,bl,zscore,-2.052075951114211,4,nan,-1.6631887287028089,nan,-1.1926300981163644,-2.703311419747081,nan,-2.64917355789059,nan
118,fa-en,bl,zscore,-1.5694413251615327,4,nan,-0.6304023626903582,nan,-1.6448085566778259,-1.3194894040901286,nan,-2.6830649771878172,nan
119,fa-en,bl,zscore,1.1676529491126026,4,nan,2.0638229399508177,nan,0.9677780927883954,0.9668252304735315,nan,0.6721855332376659,nan
120,fa-en,bl,zscore,-1.1054841187649982,4,nan,-0.40588358747026015,nan,-0.7404516395549031,-1.4398217532776898,nan,-1.8357794947571395,nan
121,fa-en,bl,zscore,-1.0558650124042146,4,nan,-0.40588358747026015,nan,-1.6950506076290994,-1.9813173246217144,nan,-0.14120852989578456,nan
122,fa-en,bl,zscore,-0.04808589834708557,4,nan,-0.45078734251427977,nan,0.06342117566547266,-0.4771629597772012,nan,0.6721855332376659,nan
123,fa-en,bl,zscore,0.5251052917816964,4,nan,-0.40588358747026015,nan,0.8672939908858485,0.9668252304735315,nan,0.6721855332376659,nan
124,fa-en,bl,zscore,0.6116943069696116,4,nan,-0.3609798324262406,nan,1.1687462965934894,0.9668252304735315,nan,0.6721855332376659,nan
125,fa-en,bl,zscore,-1.1810244337706037,4,nan,-0.4956910975582994,nan,-1.041903945262544,-0.5373291343709817,nan,-2.64917355789059,nan
126,fa-en,bl,zscore,-0.9373998492343116,4,nan,0.31257649323405334,nan,-0.6399675376523561,-1.6203202770590313,nan,-1.8018880754599125,nan
127,fa-en,bl,zscore,0.5090064680768636,4,nan,-0.0017497920740838216,nan,0.3648734813731136,0.9668252304735315,nan,0.706076952534893,nan
128,fa-en,bl,zscore,-0.8173815687673556,4,nan,-0.45078734251427977,nan,-0.8911777924087235,-1.379655578683909,nan,-0.5479055614625098,nan
129,fa-en,bl,zscore,-0.9615861939799295,4,nan,-0.1813648122501622,nan,-0.6902095886036296,-1.138990880308787,nan,-1.8357794947571395,nan
130,fa-en,bl,zscore,0.8527295538171492,4,nan,1.1657478390704257,nan,0.6663257870807545,0.906659055879751,nan,0.6721855332376659,nan
131,fa-en,bl,zscore,0.5764460366259642,4,nan,0.4023840033220925,nan,0.2643893794705666,0.9668252304735315,nan,0.6721855332376659,nan
132,fa-en,bl,zscore,0.4248841432076995,4,nan,0.35748024827807295,nan,0.3648734813731136,0.30499730994194574,nan,0.6721855332376659,nan
133,fa-en,bl,zscore,0.14424499275149572,4,nan,0.26767273819003373,nan,0.415115532324387,-0.7779938327461039,nan,0.6721855332376659,nan
134,fa-en,bl,zscore,-0.3555753006081799,4,nan,-0.6304023626903582,nan,-0.5394834357498092,-0.9584923565274455,nan,0.706076952534893,nan
135,fa-en,bl,zscore,0.30988099022987103,4,nan,0.8963253088063081,nan,0.415115532324387,-0.7779938327461039,nan,0.706076952534893,nan
136,fa-en,bl,zscore,0.6326471526326021,4,nan,0.49219151341013173,nan,0.6663257870807545,0.6659943575046289,nan,0.706076952534893,nan
137,fa-en,bl,zscore,0.1328125186810507,4,nan,-0.0017497920740838216,nan,0.06342117566547266,-0.23649826140207905,nan,0.706076952534893,nan
138,fa-en,bl,zscore,-0.5084684156520223,4,nan,0.13296147305797495,nan,-0.8409357414574501,-0.7779938327461039,nan,-0.5479055614625098,nan
139,fa-en,bl,zscore,-1.2900141493557733,4,nan,-0.40588358747026015,nan,-1.2931142000189115,-0.7779938327461039,nan,-2.6830649771878172,nan
140,fa-en,bl,zscore,-0.010831771344386426,4,nan,-0.4956910975582994,nan,-0.13754702813962127,-0.116165912214518,nan,0.706076952534893,nan
141,fa-en,bl,zscore,-0.3868105441415345,4,nan,-0.40588358747026015,nan,-0.7906936905061765,-0.7178276581523233,nan,0.367162759562622,nan
142,fa-en,bl,zscore,0.3841865677289962,4,nan,-0.45078734251427977,nan,0.3146314304218401,0.9668252304735315,nan,0.706076952534893,nan
143,fa-en,bl,zscore,-0.1681775849647697,4,nan,-0.40588358747026015,nan,-0.4389993338472622,-0.29666443599585957,nan,0.4688370174543033,nan
144,fa-en,bl,zscore,-1.1152385916745793,4,nan,0.4023840033220925,nan,-0.7404516395549031,-1.4398217532776898,nan,-2.6830649771878172,nan
145,fa-en,bl,zscore,-0.17955500941822602,4,nan,-0.04665354711810342,nan,-0.5394834357498092,-0.8381600073398844,nan,0.706076952534893,nan
146,fa-en,bl,zscore,0.1741308633078645,4,nan,1.0759403289823866,nan,0.11366322661674615,-1.1991570549025676,nan,0.706076952534893,nan
147,fa-en,bl,zscore,-0.6921492750803019,4,nan,-0.7202098727783973,nan,-0.8911777924087235,-0.23649826140207905,nan,-0.9207111737320078,nan
148,fa-en,bl,zscore,-0.7278058747776376,4,nan,0.043153962969935775,nan,-0.7404516395549031,-1.2593232294963481,nan,-0.954602593029235,nan
149,fa-en,bl,zscore,-1.6926250348607386,4,nan,-0.40588358747026015,nan,-1.1926300981163644,-2.5228128959657394,nan,-2.64917355789059,nan
150,fa-en,bl,zscore,-0.654626433713701,4,nan,-0.04665354711810342,nan,-1.142388047165091,-2.1016496738092756,nan,0.6721855332376659,nan
151,fa-en,bl,zscore,-0.8826592588820921,4,nan,-0.40588358747026015,nan,-0.3887572828959887,-2.2219820229968366,nan,-0.5140141421652826,nan
152,fa-en,bl,zscore,-0.6512907038469637,4,nan,-0.40588358747026015,nan,0.11366322661674615,-0.4771629597772012,nan,-1.8357794947571395,nan
153,fa-en,bl,zscore,-0.2556227909763179,4,nan,-0.45078734251427977,nan,-0.7404516395549031,-0.5373291343709817,nan,0.706076952534893,nan
154,fa-en,bl,zscore,-0.3189419427535912,4,nan,-0.9447286479984953,nan,-0.7404516395549031,-0.29666443599585957,nan,0.706076952534893,nan
155,fa-en,bl,zscore,0.46499553520702586,4,nan,0.13296147305797495,nan,0.415115532324387,0.6058281829108484,nan,0.706076952534893,nan
156,fa-en,bl,zscore,0.6867375673296314,4,nan,0.35748024827807295,nan,0.716567838032028,0.9668252304735315,nan,0.706076952534893,nan
157,fa-en,bl,zscore,0.2423934397685541,4,nan,-0.4956910975582994,nan,-0.0873049771883478,0.8464928812859706,nan,0.706076952534893,nan
158,fa-en,bl,zscore,-0.4161340955616517,4,nan,-1.1243436681745738,nan,-0.5394834357498092,-0.5373291343709817,nan,0.5366198560487575,nan
159,fa-en,bl,zscore,-0.8126678527677447,4,nan,-1.079439913130554,nan,-1.1926300981163644,-1.379655578683909,nan,0.40105417885984906,nan
160,fa-en,bl,zscore,-1.3210559830032542,3,nan,-1.3937661984386913,nan,0.11366322661674615,nan,nan,-2.6830649771878172,nan
161,fa-en,bl,zscore,-0.6161594684942483,3,nan,-0.1813648122501622,nan,-0.23803113004216825,nan,nan,-1.4290824631904144,nan
162,fa-en,bl,zscore,-0.9201942766216886,3,nan,-1.303958688350652,nan,-0.8409357414574501,nan,nan,-0.615688400056964,nan
163,fa-en,bl,zscore,0.6085960616512036,3,nan,2.0638229399508177,nan,0.716567838032028,nan,nan,-0.954602593029235,nan
164,fa-en,bl,zscore,-1.6635074010670354,3,nan,-2.1571300341870243,nan,-0.4892413847985357,nan,nan,-2.3441507842155462,nan
165,fa-en,bl,zscore,-0.7236590167536642,3,nan,-1.0345361580865344,nan,-0.6902095886036296,nan,nan,-0.44623130357082846,nan
166,fa-en,bl,zscore,-0.7728228263598983,3,nan,-1.1692474232185932,nan,-1.041903945262544,nan,nan,-0.10731711059855745,nan
167,fa-en,bl,zscore,-1.5274431253884124,3,nan,-1.079439913130554,nan,-1.1926300981163644,nan,nan,-2.310259364918319,nan
168,fa-en,bl,zscore,-0.2117701701457979,3,nan,-0.4956910975582994,nan,-0.4389993338472622,nan,nan,0.2993799209681678,nan
169,fa-en,bl,zscore,-1.486667842320462,3,nan,-0.5854986076463385,nan,-1.2931142000189115,nan,nan,-2.581390719296136,nan
170,fa-en,bl,zscore,-0.12288767996999372,3,nan,-0.5854986076463385,nan,-0.4892413847985357,nan,nan,0.706076952534893,nan
171,fa-en,bl,zscore,-1.21206987070652,3,nan,-0.5854986076463385,nan,-0.7404516395549031,nan,nan,-2.310259364918319,nan
172,fa-en,bl,zscore,0.9297869444808136,3,nan,1.1657478390704257,nan,0.9175360418371219,nan,nan,0.706076952534893,nan
173,fa-en,bl,zscore,-1.4295828326943747,3,nan,-1.5733812186147698,nan,-0.4389993338472622,nan,nan,-2.276367945621092,nan
174,fa-en,bl,zscore,0.022327287601717854,3,nan,-0.1813648122501622,nan,-0.28827318099344174,nan,nan,0.5366198560487575,nan
