SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10,ANNOTATOR_11,ANNOTATOR_12,ANNOTATOR_13,ANNOTATOR_14,ANNOTATOR_15,ANNOTATOR_16,ANNOTATOR_17,ANNOTATOR_18,ANNOTATOR_19,ANNOTATOR_20,ANNOTATOR_21,ANNOTATOR_22,ANNOTATOR_23,ANNOTATOR_24,ANNOTATOR_25,ANNOTATOR_26
1,ko-en,bl,10,-0.3083203420459806,0.859318315752165,0.6169306372638086,-0.9041278615228271,-1.3746011977010588,-0.10908930852441154,nan,-0.4851433609085202,nan,-1.5150993229406216,nan,0.11118974765133982,0.20560077941303684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,ko-en,bl,10,1.0747619121191507,0.48537871337899274,0.9678219606219143,1.8926817941427936,0.7091573405904368,-0.10908930852441154,nan,1.0647482856814106,nan,0.8537513180575126,nan,0.9698216878477972,0.28052509090394323,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,ko-en,bl,10,-0.646407115286346,0.5788636139722858,0.821617242556037,-0.979717311675952,-1.185168603310923,-0.2525876854634999,nan,0.12835541586666072,nan,-1.2940065964474625,nan,0.25429507101741605,0.3179872466493964,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,ko-en,bl,10,1.4128486853595164,0.48537871337899274,1.201749509527318,1.8926817941427936,1.0880225293707086,0.41707140691891254,nan,1.0647482856814106,nan,0.8537513180575126,nan,0.9698216878477972,0.9923060500675538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,ko-en,bl,10,1.4743190077668555,0.48537871337899274,1.201749509527318,1.8926817941427936,1.0880225293707086,1.1345632916143544,nan,1.0647482856814106,nan,0.8537513180575126,nan,0.9698216878477972,1.1046925173039133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,ko-en,bl,10,1.4435838465631858,0.48537871337899274,1.1725085659141428,1.8926817941427936,0.557611265078328,-1.1135779470980303,nan,0.9033012391616262,nan,0.537904565924428,nan,0.9698216878477972,1.1421546730493666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,ko-en,bl,10,0.4600586880457591,0.48537871337899274,0.5292078064242821,1.8926817941427936,-0.42743822575037904,-0.2525876854634999,nan,1.0647482856814106,nan,0.8537513180575126,nan,0.9698216878477972,1.217078984540273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,ko-en,bl,10,1.1054970733228204,0.48537871337899274,1.0555447914614409,1.8926817941427936,0.7091573405904368,0.464904199231942,nan,1.0647482856814106,nan,0.8537513180575126,nan,0.9698216878477972,1.1421546730493666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,ko-en,bl,10,-1.1381696945450595,0.48537871337899274,-1.1960078667530711,-0.7529489612165774,-1.3367146788230317,-1.0657451547850008,nan,-1.2277997748995289,nan,-2.178377502420099,nan,-1.8922847794737274,-2.491674434259593,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,ko-en,bl,10,-1.3840509841744162,0.48537871337899274,-1.1960078667530711,0.45648224123342074,-1.2988281599450044,-1.2570763240371186,nan,0.38667069029831586,nan,-2.2099621776334075,nan,-1.8922847794737274,0.35544940239484957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,ko-en,bl,10,-0.6156719540826764,0.5321211636756393,0.7923762989428614,1.8926817941427936,-0.23800563136024308,0.17790744535376524,nan,0.9033012391616262,nan,0.3483965146445773,nan,0.9698216878477972,1.1046925173039133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
